code	product_name	energy_100g	proteins_100g	fat_100g	carbohydrates_100g	sugars_100g	energy-kcal_100g	saturated-fat_100g	salt_100g	sodium_100g	fiber_100g	fruits-vegetables-nuts-estimate-from-ingredients_100g	nutrition-score-fr_100g	prediction
5470.0		669.0	9.5	2.2	25.2	0.6	160.0	0.5	0.358	0.1432	1.6	0.0	-4.0	2
43595.0		1255.0	0.0	0.0	83.33	66.67	300.0	0.0	0.0	0.0	10.0	33.333332	8.0	3
290616.0		1210.0	22.0	12.0	23.0	0.0	290.0	7.0	2.16	0.864	2.0	20.0	16.0	2
1938067.0		1090.0	3.33	10.7	38.7	24.7	260.0	2.0	0.647	0.259	2.0	0.0	9.0	6
4302544.0		1160.0	10.0	1.11	53.3	1.11	278.0	0.333	1.52	0.61	2.22	0.0	2.0	2
5016.0		2318.0	8.2	53.2	11.7	0.5	561.0	9.6	2.7	1.08	1.3	33.885	24.0	1
5018.0		1104.0	1.9	27.4	1.8	0.0	268.0	3.9	2.7	1.08	3.5	80.0	11.0	5
7020254.0		213.0	0.0	0.0	14.0	0.0	51.0	0.0	1.0	0.4	0.0	0.0	12.0	2
8237798.0		478.0	5.36	6.79	7.86	0.714	114.0	2.86	0.499	0.2	0.357	0.0	2.0	2
1.0206515E7		1720.0	0.03	6.42	87.86	81.67	411.0	3.53	0.1	0.04	0.0	0.0	18.0	3
1.2167005E7		536.0	7.0	6.0	50.0	19.0	128.0	1.0	0.0	0.0	1.0	0.0	0.0	2
178.0		1335.0	2.0	0.0	73.0	70.0	315.0	0.0	0.03	0.012	7.5	0.0	8.0	3
2.0043132E7		1527.0	12.94	1.18	71.76	4.71	365.0	0.0	1.19634	0.478536	2.4	0.0	3.0	0
2.0045792E7		1749.0	5.88	21.76	51.76	32.94	418.0	5.29	0.6731	0.26924	2.4	0.0	17.0	6
2.0047824E7		1623.0	4.71	22.35	42.35	15.29	388.0	11.76	0.80772	0.323088	2.4	0.0	18.0	1
3.0053014E7		1046.0	0.0	0.0	95.0	0.0	250.0	0.0	0.0	0.0	0.0	0.0	3.0	6
4.014408E7		2360.0	0.0	30.5	51.6	51.6	563.0	18.8	2.23	0.892	0.0	0.0	36.0	1
5.045754E7		1707.0	1.7	37.0	17.0	12.0	408.0	4.0	2.2	0.88	0.2	0.0	19.0	1
636.0		1498.0	13.0	3.5	72.2	0.9	358.0	0.6	0.01	0.004	14.2	0.0	-6.0	0
6.900514E7		703.0	18.9	10.3	0.0	0.0	168.0	1.4	0.1	0.04	0.0	0.0	-2.0	2
6.900656E7		573.0	2.2	3.1	24.0	0.8	137.0	1.6	1.0	0.4	2.2	0.0	3.0	2
6.906206E7		678.0	8.2	6.6	17.0	3.7	162.0	1.7	0.73	0.292	0.9	0.0	1.0	2
6.906615E7		1163.0	5.9	17.0	24.0	1.6	278.0	7.0	1.5	0.6	2.7	0.0	13.0	2
