code	product_name	energy_100g	proteins_100g	fat_100g	carbohydrates_100g	sugars_100g	energy-kcal_100g	saturated-fat_100g	salt_100g	sodium_100g	fiber_100g	fruits-vegetables-nuts-estimate-from-ingredients_100g	nutrition-score-fr_100g	prediction
1217.0		1076.0	12.0	13.0	24.0	0.07	256.0	4.1	1.2	0.48	1.1	0.0	11.0	2
12188.0		1063.0	8.6	14.4	20.4	3.0	254.0	3.2	0.9	0.36	4.3	88.2	-5.0	5
12195.0		916.0	9.7	8.0	26.3	2.1	219.0	2.1	1.5	0.6	0.6	0.0	5.0	2
12232.0		415.0	5.6	2.3	13.0	1.1	99.2	0.4	0.5	0.2	1.7	85.0	-6.0	5
12249.0		268.0	3.7	2.3	1.8	1.4	64.0	2.3	0.4	0.16	1.3	34.9	0.0	2
12256.0		649.0	4.6	7.6	16.4	0.8	155.0	1.8	0.3	0.12	1.8	5.1	0.0	2
12263.0		1042.0	8.4	10.5	31.6	2.9	249.0	2.7	1.3	0.52	1.8	107.0	-1.0	5
12317.0		795.0	10.5	6.6	19.9	3.1	190.0	1.9	1.3	0.52	4.0	48.2	-2.0	5
12409.0		891.0	8.6	10.2	20.9	0.9	213.0	1.1	1.1	0.44	1.7	85.5	-4.0	5
12683.0		33.0	1.0	0.2	0.3	0.3	8.0	0.1	0.1	0.04	0.7	100.0	-5.0	5
12782.0		1276.0	13.6	14.3	29.8	3.5	305.0	8.5	1.7	0.68	1.3	0.0	17.0	6
128550.0		1552.0	2.9	0.8	88.0	13.0	371.0	0.3	0.0	0.0	14.0	0.0	0.0	0
13000.0		582.0	10.8	6.8	7.6	1.4	139.0	3.8	0.8	0.32	1.2	9.0	1.0	2
13406.0		544.0	1.0	12.0	3.5	2.0	130.0	0.6	1.1	0.44	2.0	68.0	1.0	5
13819.0		761.0	9.6	5.5	22.6	2.5	182.0	2.6	1.3	0.52	1.8	0.0	3.0	2
13826.0		946.0	8.6	8.1	30.0	2.1	226.0	5.1	5.1	2.04	1.4	66.6	14.0	5
